app_name,device_id,clock_period_nsec,design_latency_msec,bram_utilization,dsp_utilization,ff_utilization,lut_utilization,synthesis_time_sec
machsuite-gemm-ncubed,xcu200-fsgd2104-2-e,10,21.05473,0,0,0,0,25.818180799484253
machsuite-gemm-ncubed,xcu200-fsgd2104-2-e,5,15.770245,0,0,0,0,25.783129453659058
machsuite-gemm-ncubed,xcu200-fsgd2104-2-e,3.33,15.74062029,0,0,0,0,25.556312561035156
machsuite-gemm-ncubed,xczu7ev-ffvc1156-2-e,10,31.54049,0,0,0,0,26.906346797943115
machsuite-gemm-ncubed,xczu7ev-ffvc1156-2-e,5,27.566725,0,0,0,0,26.905131340026855
machsuite-gemm-ncubed,xczu7ev-ffvc1156-2-e,3.33,22.72413645,0,0,0,1,25.779786586761475
rodinia-kmeans-2-pipeline,xcu200-fsgd2104-2-e,10,7168.00582,0,0,0,0,35.96755838394165
rodinia-kmeans-2-pipeline,xcu200-fsgd2104-2-e,5,5683.20291,0,0,0,0,35.997594594955444
rodinia-kmeans-2-pipeline,xcu200-fsgd2104-2-e,3.33,4990.7614161599995,0,0,0,0,35.9426326751709
rodinia-kmeans-2-pipeline,xczu7ev-ffvc1156-2-e,10,9277.44582,41,0,0,0,37.13138246536255
rodinia-kmeans-2-pipeline,xczu7ev-ffvc1156-2-e,5,8120.32291,41,0,0,0,37.066176891326904
rodinia-kmeans-2-pipeline,xczu7ev-ffvc1156-2-e,3.33,7555.02125616,41,0,0,0,36.054648876190186
rodinia_dilate_1_tiling_0,xcu200-fsgd2104-2-e,10,323.82349,0,0,0,0,37.44100069999695
rodinia_dilate_1_tiling_0,xcu200-fsgd2104-2-e,5,161.911745,0,0,0,0,37.424257040023804
rodinia_dilate_1_tiling_0,xcu200-fsgd2104-2-e,3.33,156.17906793,0,0,0,0,36.00246477127075
rodinia_dilate_1_tiling_0,xczu7ev-ffvc1156-2-e,10,323.82349,10,0,0,0,37.06592679023743
rodinia_dilate_1_tiling_0,xczu7ev-ffvc1156-2-e,5,196.727745,10,0,0,0,37.053722620010376
rodinia_dilate_1_tiling_0,xczu7ev-ffvc1156-2-e,3.33,202.55397993,10,0,0,0,37.866100788116455
machsuite-viterbi,xcu200-fsgd2104-2-e,10,57.56847,0,0,0,0,27.646904230117798
machsuite-viterbi,xcu200-fsgd2104-2-e,5,43.062195,0,0,0,0,27.001967906951904
machsuite-viterbi,xcu200-fsgd2104-2-e,3.33,42.06971484,0,0,0,0,26.815816640853882
machsuite-viterbi,xczu7ev-ffvc1156-2-e,10,74.6474,5,0,0,0,27.61602807044983
machsuite-viterbi,xczu7ev-ffvc1156-2-e,5,63.16913,5,0,0,1,28.094459533691406
machsuite-viterbi,xczu7ev-ffvc1156-2-e,3.33,61.17897645,5,0,0,1,28.00218152999878
rodinia_lavaMD_0_baseline,xcu200-fsgd2104-2-e,10,865.0869,0,0,0,0,30.157492876052856
rodinia_lavaMD_0_baseline,xcu200-fsgd2104-2-e,5,745.74349,0,0,0,0,30.771835565567017
rodinia_lavaMD_0_baseline,xcu200-fsgd2104-2-e,3.33,654.90748362,0,0,0,0,30.755191802978516
rodinia_lavaMD_0_baseline,xczu7ev-ffvc1156-2-e,10,1318.6869,0,1,0,1,30.38701105117798
rodinia_lavaMD_0_baseline,xczu7ev-ffvc1156-2-e,5,1134.54457,0,1,0,1,30.311396837234497
rodinia_lavaMD_0_baseline,xczu7ev-ffvc1156-2-e,3.33,1036.12588362,0,1,1,2,30.243081092834473
rodinia_lavaMD_2_pipeline_0,xcu200-fsgd2104-2-e,10,865.79546,0,0,0,0,32.34842109680176
rodinia_lavaMD_2_pipeline_0,xcu200-fsgd2104-2-e,5,746.09777,0,0,0,0,32.31376814842224
rodinia_lavaMD_2_pipeline_0,xcu200-fsgd2104-2-e,3.33,655.1434341,0,0,0,0,32.57932472229004
rodinia_lavaMD_2_pipeline_0,xczu7ev-ffvc1156-2-e,10,1319.39546,2,1,0,1,30.52078080177307
rodinia_lavaMD_2_pipeline_0,xczu7ev-ffvc1156-2-e,5,1134.89885,2,1,0,1,32.11413097381592
rodinia_lavaMD_2_pipeline_0,xczu7ev-ffvc1156-2-e,3.33,1036.5110181,2,1,1,2,32.120022773742676
machsuite-stencil2d,xcu200-fsgd2104-2-e,10,2.03365,0,0,0,0,23.93835186958313
machsuite-stencil2d,xcu200-fsgd2104-2-e,5,1.719905,0,0,0,0,23.906058073043823
machsuite-stencil2d,xcu200-fsgd2104-2-e,3.33,1.37958237,0,0,0,0,23.708927631378174
machsuite-stencil2d,xczu7ev-ffvc1156-2-e,10,2.03365,0,0,0,0,24.00527596473694
machsuite-stencil2d,xczu7ev-ffvc1156-2-e,5,1.719905,0,0,0,0,23.95406150817871
machsuite-stencil2d,xczu7ev-ffvc1156-2-e,3.33,1.37958237,0,0,0,0,23.856915712356567
machsuite-spmv-ellpack,xcu200-fsgd2104-2-e,10,0.45943,0,0,0,0,25.744407653808594
machsuite-spmv-ellpack,xcu200-fsgd2104-2-e,5,0.328515,0,0,0,0,26.70582103729248
machsuite-spmv-ellpack,xcu200-fsgd2104-2-e,3.33,0.35039259,0,0,0,0,26.589187622070312
machsuite-spmv-ellpack,xczu7ev-ffvc1156-2-e,10,0.65703,0,0,0,0,26.315301179885864
machsuite-spmv-ellpack,xczu7ev-ffvc1156-2-e,5,0.550815,0,0,0,0,26.245708465576172
machsuite-spmv-ellpack,xczu7ev-ffvc1156-2-e,3.33,0.48199419,0,0,0,1,25.7754864692688
rodinia-hotspot-2-pipeline,xcu200-fsgd2104-2-e,10,27400.15713,1,0,0,0,28.657389402389526
rodinia-hotspot-2-pipeline,xcu200-fsgd2104-2-e,5,15042.255845,1,0,0,0,28.434165477752686
rodinia-hotspot-2-pipeline,xcu200-fsgd2104-2-e,3.33,14604.59391021,1,0,0,0,28.4343159198761
rodinia-hotspot-2-pipeline,xczu7ev-ffvc1156-2-e,10,28742.33441,29,0,0,0,29.31311321258545
rodinia-hotspot-2-pipeline,xczu7ev-ffvc1156-2-e,5,16719.977445,29,0,0,1,29.109261989593506
rodinia-hotspot-2-pipeline,xczu7ev-ffvc1156-2-e,3.33,19856.19806253,29,0,0,1,28.61104464530945
serrano-kalman-filter,xcu200-fsgd2104-2-e,10,103.93666,0,0,0,0,33.906081438064575
serrano-kalman-filter,xcu200-fsgd2104-2-e,5,57.21121,0,0,0,0,33.83433675765991
serrano-kalman-filter,xcu200-fsgd2104-2-e,3.33,42.57626778,0,0,0,0,28.98624610900879
serrano-kalman-filter,xczu7ev-ffvc1156-2-e,10,103.93666,87,0,0,4,33.380260705947876
serrano-kalman-filter,xczu7ev-ffvc1156-2-e,5,61.14305,87,0,0,4,29.69548797607422
serrano-kalman-filter,xczu7ev-ffvc1156-2-e,3.33,45.08575578,87,0,0,4,33.941680908203125
rodinia_streamcluster_1_tiling_0,xcu200-fsgd2104-2-e,10,22.76587,0,0,0,0,28.62157940864563
rodinia_streamcluster_1_tiling_0,xcu200-fsgd2104-2-e,5,17.562775,0,0,0,0,28.54826259613037
rodinia_streamcluster_1_tiling_0,xcu200-fsgd2104-2-e,3.33,14.448613589999999,0,0,0,0,28.616538763046265
rodinia_streamcluster_1_tiling_0,xczu7ev-ffvc1156-2-e,10,28.97131,16,0,0,0,29.15376305580139
rodinia_streamcluster_1_tiling_0,xczu7ev-ffvc1156-2-e,5,24.781975,16,0,0,0,28.4575834274292
rodinia_streamcluster_1_tiling_0,xczu7ev-ffvc1156-2-e,3.33,21.99476655,16,0,0,0,28.28045964241028
rodinia-hotspot-1-tiling,xcu200-fsgd2104-2-e,10,5212.10977,1,0,0,0,27.59126901626587
rodinia-hotspot-1-tiling,xcu200-fsgd2104-2-e,5,3948.232165,1,0,0,0,27.555970907211304
rodinia-hotspot-1-tiling,xcu200-fsgd2104-2-e,3.33,3526.9044484500005,1,0,0,0,27.58951473236084
rodinia-hotspot-1-tiling,xczu7ev-ffvc1156-2-e,10,6554.28705,29,0,0,0,28.06894588470459
rodinia-hotspot-1-tiling,xczu7ev-ffvc1156-2-e,5,5625.953765,29,0,0,0,28.06335186958313
rodinia-hotspot-1-tiling,xczu7ev-ffvc1156-2-e,3.33,5258.81645613,29,0,0,0,28.238828897476196
rodinia_pathfinder_0_baseline_0,xcu200-fsgd2104-2-e,10,52.44928,0,0,0,0,28.77802085876465
rodinia_pathfinder_0_baseline_0,xcu200-fsgd2104-2-e,5,31.4624,0,0,0,0,32.04206037521362
rodinia_pathfinder_0_baseline_0,xcu200-fsgd2104-2-e,3.33,20.95736832,0,0,0,0,31.92843198776245
rodinia_pathfinder_0_baseline_0,xczu7ev-ffvc1156-2-e,10,52.44928,0,0,0,0,32.8941445350647
rodinia_pathfinder_0_baseline_0,xczu7ev-ffvc1156-2-e,5,31.4624,0,0,0,0,32.836493492126465
rodinia_pathfinder_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,24.4491264,0,0,0,0,29.170355319976807
rodinia_lc_gicov_0_baseline_0,xcu200-fsgd2104-2-e,10,425.00501,0,0,0,0,34.81276822090149
rodinia_lc_gicov_0_baseline_0,xcu200-fsgd2104-2-e,5,368.752505,0,0,0,0,31.318115234375
rodinia_lc_gicov_0_baseline_0,xcu200-fsgd2104-2-e,3.33,313.85416833,0,0,0,0,31.20474123954773
rodinia_lc_gicov_0_baseline_0,xczu7ev-ffvc1156-2-e,10,573.75501,0,0,0,0,34.807605266571045
rodinia_lc_gicov_0_baseline_0,xczu7ev-ffvc1156-2-e,5,536.877505,0,0,0,0,34.74279451370239
rodinia_lc_gicov_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,477.44041833,0,0,0,0,34.790605306625366
rodinia-kmeans-0-baseline,xcu200-fsgd2104-2-e,10,2138.11205,0,0,0,0,36.25373840332031
rodinia-kmeans-0-baseline,xcu200-fsgd2104-2-e,5,1775.616045,0,0,0,0,36.067705392837524
rodinia-kmeans-0-baseline,xcu200-fsgd2104-2-e,3.33,1646.3094126300002,0,0,0,0,36.02562499046326
rodinia-kmeans-0-baseline,xczu7ev-ffvc1156-2-e,10,2854.91207,0,0,0,0,36.551214933395386
rodinia-kmeans-0-baseline,xczu7ev-ffvc1156-2-e,5,2820.096065,0,0,0,0,36.527629375457764
